food,quantity,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Energy,Water,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Vitamin A, IU",Retinol,"Vitamin A, RAE",Vitamin D,Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Folic acid,"Folate, food","Folate, DFE",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Cholesterol,"Fatty acids, total saturated",12:00,14:00,16:00,18:00,18:1 undifferentiated,18:2 undifferentiated,18:3 undifferentiated,16:1 undifferentiated,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Alcohol, ethyl",Caffeine,Theobromine,"Sugars, total","Fluoride, F","Selenium, Se","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D3 (cholecalciferol),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,"Choline, total",Vitamin K (phylloquinone),Betaine,4:00,6:00,8:00,10:00,20:4 undifferentiated,22:6 n-3 (DHA),18:04,20:01,20:5 n-3 (EPA),22:1 undifferentiated,22:5 n-3 (DPA),"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol,delta",Menaquinone-4,Dihydrophylloquinone,"Fatty acids, total trans",20:00,22:00,14:01,Stigmasterol,Campesterol,Beta-sitosterol,15:00,17:00,18:1 t,"18:2 t,t","20:2 n-6 c,c",18:1 c,"18:2 n-6 c,c","18:3 n-6 c,c,c",17:01,20:3 undifferentiated,"Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",15:01,"18:3 n-3 c,c,c (ALA)",24:00:00,13:00,Phytosterols,Starch,Sucrose,Glucose (dextrose),Fructose,Lactose,Maltose,Galactose,Hydroxyproline,16:1 t,22:1 t,18:2 CLAs,24:1 c,16:1 c,22:1 c,20:3 n-3,20:3 n-6,22:04,Vitamin D2 (ergocalciferol)
cooked brown rice,97.5 g,2.262 g,0.8093 g,22.9223 g,0.3803 g,109.2913479923518 kcal,71.136 g,1.755 g,9.75 mg,0.5168 mg,42.9 mg,75.075 mg,77.025 mg,0.975 mg,0.6045 mg,0.079 mg,1.0696 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.0995 mg,0.0117 mg,1.2968 mg,0.3822 mg,0.1453 mg,3.9 μg,0.0 μg,0.0 μg,3.9 μg,3.9 μg,0.0293 g,0.0829 g,0.0956 g,0.1862 g,0.0858 g,0.0507 g,0.0273 g,0.116 g,0.0848 g,0.1326 g,0.1706 g,0.0575 g,0.1316 g,0.2116 g,0.4602 g,0.1112 g,0.1063 g,0.117 g,0.0 mg,0.1609 g,0.001 g,0.0029 g,0.1375 g,0.0146 g,0.2896 g,0.2759 g,0.0127 g,0.0029 g,0.2925 g,0.2886 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard boiled egg,50.0 g,6.29 g,5.305 g,0.56 g,0.54 g,77.55736137667303 kcal,37.31 g,0.0 g,25.0 mg,0.595 mg,5.0 mg,86.0 mg,63.0 mg,62.0 mg,0.525 mg,0.0065 mg,0.013 mg,6.5 μg,74.0 μg,74.5 μg,1.0875000000000001 μg,1.1 μg,0.0 mg,0.033 mg,0.2565 mg,0.032 mg,0.699 mg,0.0605 mg,22.0 μg,0.555 μg,0.0 μg,22.0 μg,22.0 μg,0.0765 g,0.302 g,0.343 g,0.5375 g,0.452 g,0.196 g,0.146 g,0.334 g,0.2565 g,0.3835 g,0.3775 g,0.149 g,0.35 g,0.632 g,0.822 g,0.2115 g,0.2505 g,0.468 g,186.5 mg,1.6335 g,0.0015 g,0.0175 g,1.1745 g,0.414 g,1.8625 g,0.594 g,0.0175 g,0.155 g,2.0385 g,0.707 g,0 g,0 mg,0 mg,0.56 g,2.4 μg,15.4 μg,5.5 μg,0.0 μg,0.515 mg,1.1 μg,5.0 μg,0.0 μg,176.5 μg,146.9 mg,0.15 μg,0.3 mg,0.0 g,0.0 g,0.0015 g,0.0015 g,0.0745 g,0.019 g,0.0 g,0.015 g,0.0025 g,0.0015 g,0.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canola oil,14.0 g,0.0 g,14.0 g,0.0 g,0.0 g,123.77151051625239 kcal,0.0 g,0.0 g,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,,,,,,,,,,,,,,,,,,,0.0 mg,1.0311 g,0.0 g,0.0 g,0.6017 g,0.2922 g,8.6442 g,2.6607 g,1.2792 g,0.03 g,8.8586 g,3.9399 g,0 g,0 mg,0 mg,0.0 g,,0.0 μg,0.0 μg,0.0 μg,2.4444 mg,,0.0 μg,0.0 μg,0.0 μg,0.028 mg,9.982 μg,0.0 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.1844 g,0.0 g,0.0 g,0.0 g,0.0014 mg,3.8276 mg,0.1386 mg,0.0042 mg,0 mg,0.0 mg,0.0014 mg,0.0 μg,0.0 μg,0.0553 g,0.091 g,0.0462 g,0.0 g,0.42 mg,33.74 mg,57.82 mg,0.0 g,0.0 g,0.0042 g,0.0511 g,0.0 g,8.64 g,2.6096 g,0.0 g,0.0 g,0.0 g,0.0042 g,0.0511 g,0.0 g,1.2792 g,,,,,,,,,,,,,,,,,,,,,
lentils,198.0 g,17.8596 g,0.7524 g,39.8574 g,1.6434 g,230.46367112810705 kcal,137.8872 g,15.642 g,37.62 mg,6.5934 mg,71.28 mg,356.4 mg,730.62 mg,3.96 mg,2.5146 mg,0.497 mg,0.9781 mg,0.396 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,2.97 mg,0.3346 mg,0.1445 mg,2.0988 mg,1.2632 mg,0.3524 mg,358.38 μg,0.0 μg,0.0 μg,358.38 μg,358.38 μg,0.1604 g,0.6395 g,0.7722 g,1.2949 g,1.2474 g,0.1525 g,0.2336 g,0.8811 g,0.4772 g,0.887 g,1.3801 g,0.5029 g,0.7465 g,1.976 g,2.77 g,0.7267 g,0.7465 g,0.8237 g,0.0 mg,0.1049 g,0.0 g,0.002 g,0.0891 g,0.0099 g,0.1208 g,0.2713 g,0.0733 g,0.002 g,0.1267 g,0.3465 g,0 g,0 mg,0 mg,3.564 g,,5.544 μg,9.9 μg,0.0 μg,0.2178 mg,,0.0 μg,0.0 μg,0.0 μg,64.746 mg,3.366 μg,,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.004 g,0.0 g,0.0 g,0.0 g,,,,,,,,,,0.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown rice,97.5 g,2.262 g,0.8093 g,22.9223 g,0.3803 g,109.29134799235182 kcal,71.136 g,1.755 g,9.75 mg,0.5168 mg,42.9 mg,75.075 mg,77.025 mg,0.975 mg,0.6045 mg,0.079 mg,1.0696 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.0995 mg,0.0117 mg,1.2968 mg,0.3822 mg,0.1453 mg,3.9 μg,0.0 μg,0.0 μg,3.9 μg,3.9 μg,0.0293 g,0.0829 g,0.0956 g,0.1862 g,0.0858 g,0.0507 g,0.0273 g,0.116 g,0.0848 g,0.1326 g,0.1706 g,0.0575 g,0.1316 g,0.2116 g,0.4602 g,0.1112 g,0.1063 g,0.117 g,0.0 mg,0.1609 g,0.001 g,0.0029 g,0.1375 g,0.0146 g,0.2896 g,0.2759 g,0.0127 g,0.0029 g,0.2925 g,0.2886 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinach,180.0 g,5.346 g,0.468 g,6.75 g,3.258 g,41.300191204588884 kcal,164.178 g,4.32 g,244.8 mg,6.426 mg,156.6 mg,100.8 mg,838.8 mg,126.0 mg,1.368 mg,0.3132 mg,1.683 mg,471.645 μg,0.0 μg,943.2 μg,0.0 μg,0.0 μg,17.64 mg,0.171 mg,0.4248 mg,0.882 mg,0.261 mg,0.4356 mg,262.8 μg,0.0 μg,0.0 μg,262.8 μg,262.8 μg,0.072 g,0.2286 g,0.2736 g,0.4158 g,0.3276 g,0.099 g,0.063 g,0.2412 g,0.2034 g,0.3024 g,0.3024 g,0.1188 g,0.2646 g,0.45 g,0.6426 g,0.252 g,0.2088 g,0.1926 g,0.0 mg,0.0774 g,0.0 g,0.0108 g,0.0594 g,0.0054 g,0.0054 g,0.0306 g,0.1656 g,0.0054 g,0.0108 g,0.1962 g,0 g,0 mg,0 mg,0.774 g,68.04 μg,2.7 μg,11318.4 μg,0.0 μg,3.744 mg,,0.0 μg,0.0 μg,20354.4 μg,35.46 mg,888.48 μg,160.2 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,,,,,,,,,,0.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tofu,91.0 g,9.0818 g,4.7866 g,1.0738 g,1.1648 g,75.90583173996176 kcal,74.9021 g,0.91 g,256.62 mg,1.8564 mg,31.85 mg,101.01 mg,118.3 mg,3.64 mg,0.9737 mg,0.182 mg,0.6061 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.0437 mg,0.0437 mg,0.2193 mg,0.768 mg,0.0755 mg,8.19 μg,0.0 μg,0.0 μg,8.19 μg,8.19 μg,0.1229 g,0.4122 g,0.4459 g,0.7316 g,0.4641 g,0.111 g,0.03 g,0.4386 g,0.3686 g,0.4577 g,0.7189 g,0.2266 g,0.4068 g,1.0702 g,1.7281 g,0.3849 g,0.5697 g,0.5333 g,0.0 mg,0.8363 g,0.0 g,0.0082 g,0.5742 g,0.2457 g,1.1339 g,2.1713 g,0.2375 g,0.0 g,1.1994 g,2.4179 g,0 g,0 mg,0 mg,0.6461 g,,11.83 μg,0.0 μg,0.0 μg,0.0091 mg,,0.0 μg,0.0 μg,0.0 μg,30.03 mg,2.548 μg,,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0164 g,0.0 g,0.0 g,0.0 g,,,,,,,,,,0.0 g,0.0 g,0.0 g,0.0 g,,,,0.0 g,0.0082 g,,,0.0 g,,,,0.0164 g,0.0 g,,,0.0328 g,,0.0 g,0 g,,,,,,,,,,,,,,,,,,,
olive oil,13.5 g,0.0 g,13.5 g,0.0 g,0.0 g,119.35109942638623 kcal,0.0 g,0.0 g,0.135 mg,0.0756 mg,0.0 mg,0.0 mg,0.135 mg,0.27 mg,0.0 mg,0.0 mg,0.0 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 mg,1.8641 g,0.0 g,0.0 g,1.5242 g,0.2637 g,9.6213 g,1.3179 g,0.1027 g,0.1694 g,9.8497 g,1.4206 g,0 g,0 mg,0 mg,0.0 g,,0.0 μg,0.0 μg,0.0 μg,1.9373 mg,,0.0 μg,0.0 μg,0.0 μg,0.0405 mg,8.127 μg,0.0135 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.042 g,0.0 g,0.0 g,0.0 g,0.0149 mg,0.1121 mg,0.0 mg,,,,,,0.0 μg,,0.0559 g,0.0174 g,0.0 g,,,,,0.003 g,,,,,,,0.0169 g,,,,,,0.0 g,,29.835 mg,,,,,,,,,,,,,,,,,,
carrots,46.0 g,0.3496 g,0.0828 g,3.7812 g,0.3082 g,16.16156787762906 kcal,41.4782 g,1.38 g,13.8 mg,0.1564 mg,4.6 mg,13.8 mg,108.1 mg,26.68 mg,0.092 mg,0.0078 mg,0.0713 mg,195.8795 μg,0.0 μg,391.92 μg,0.0 μg,0.0 μg,1.656 mg,0.0304 mg,0.0202 mg,0.2967 mg,0.1067 mg,0.0704 mg,6.44 μg,0.0 μg,0.0 μg,6.44 μg,6.44 μg,0.0046 g,0.0722 g,0.029 g,0.0386 g,0.0382 g,0.0078 g,0.0313 g,0.023 g,0.0161 g,0.0258 g,0.0345 g,0.0152 g,0.0428 g,0.0718 g,0.1385 g,0.0175 g,0.0202 g,0.0202 g,0.0 mg,0.0138 g,0.0 g,0.0 g,0.0133 g,0.0005 g,0.0023 g,0.04 g,0.0005 g,0.0005 g,0.0028 g,0.0409 g,0 g,0 mg,0 mg,1.587 g,21.85 μg,0.322 μg,3832.72 μg,1736.96 μg,0.4738 mg,,0.0 μg,0.0 μg,316.02 μg,4.048 mg,6.302 μg,0.046 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0092 mg,0.0046 mg,0.0 mg,0.023 mg,0 mg,0.0 mg,0.0 mg,,0.0 μg,0.0 g,0.0 g,0.0 g,0.0 g,,,,0.0 g,0.0 g,,,0.0 g,,,,0.0 g,0.0 g,,,0.0 g,,0.0 g,,,0.0782 g,1.242 g,0.184 g,0.1656 g,0 g,0.0 g,0.0 g,,,,,,,,,,,
white rice,158.0 g,4.2502 g,0.4424 g,44.5086 g,0.6478 g,205.4302103250478 kcal,108.1352 g,0.632 g,15.8 mg,1.896 mg,18.96 mg,67.94 mg,55.3 mg,1.58 mg,0.7742 mg,0.109 mg,0.7458 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.2575 mg,0.0205 mg,2.3321 mg,0.6162 mg,0.1469 mg,91.64 μg,0.0 μg,86.9 μg,4.74 μg,153.26 μg,0.049 g,0.1517 g,0.1833 g,0.3508 g,0.1533 g,0.0995 g,0.0869 g,0.2275 g,0.1422 g,0.2591 g,0.3539 g,0.0995 g,0.2465 g,0.3997 g,0.8279 g,0.1928 g,0.2007 g,0.2228 g,0.0 mg,0.1217 g,0.0 g,0.0032 g,0.109 g,0.0079 g,0.1375 g,0.098 g,0.0205 g,0.0016 g,0.139 g,0.1201 g,0 g,0 mg,0 mg,0.079 g,64.938 μg,11.85 μg,0.0 μg,0.0 μg,0.0632 mg,,0.0 μg,0.0 μg,0.0 μg,3.318 mg,0.0 μg,0.474 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet potato,114.0 g,2.2914 g,0.171 g,23.6094 g,1.539 g,102.99235181644342 kcal,86.3892 g,3.762 g,43.32 mg,0.7866 mg,30.78 mg,61.56 mg,541.5 mg,41.04 mg,0.3648 mg,0.1835 mg,0.5666 mg,547.7130000000001 μg,0.0 μg,1095.54 μg,0.0 μg,0.0 μg,22.344 mg,0.122 mg,0.1208 mg,1.6952 mg,1.0078 mg,0.326 mg,6.84 μg,0.0 μg,0.0 μg,6.84 μg,6.84 μg,0.0456 g,0.122 g,0.0798 g,0.1345 g,0.0958 g,0.0422 g,0.0319 g,0.13 g,0.0502 g,0.1254 g,0.0798 g,0.0445 g,0.1129 g,0.5563 g,0.2257 g,0.0923 g,0.0764 g,0.1288 g,0.0 mg,0.0593 g,0.0 g,0.0 g,0.057 g,0.0023 g,0.0023 g,0.1026 g,0.0068 g,0.0 g,0.0023 g,0.1049 g,0 g,0 mg,0 mg,7.3872 g,,0.228 μg,13120.26 μg,49.02 μg,0.8094 mg,,0.0 μg,0.0 μg,0.0 μg,14.934 mg,2.622 μg,39.444 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 mg,0.0114 mg,0.0 mg,0.0228 mg,0 mg,0.0 mg,0.0 mg,,0.0 μg,0.0 g,0.0 g,0.0 g,0.0 g,,,,0.0 g,0.0 g,,,0.0 g,,,,0.0 g,0.0 g,,,0.0 g,,0.0 g,,,8.037 g,2.5992 g,0.6498 g,0.57 g,0 g,3.5568 g,0.0 g,,,,,,,,,,,
beans,254.0 g,12.065 g,0.9398 g,53.6956 g,4.445 g,238.58030592734204 kcal,182.88 g,10.414 g,86.36 mg,3.0226 mg,68.58 mg,187.96 mg,568.96 mg,871.22 mg,5.7912 mg,0.3683 mg,0.2769 mg,6.8580000000000005 μg,0.0 μg,12.7 μg,0.0 μg,0.0 μg,0.0 mg,0.2438 mg,0.0991 mg,1.0871 mg,0.5486 mg,0.2134 mg,30.48 μg,0.0 μg,0.0 μg,30.48 μg,30.48 μg,0.1295 g,0.3785 g,0.574 g,1.0287 g,0.7569 g,0.1194 g,0.094 g,0.6782 g,0.3073 g,0.6604 g,0.5817 g,0.3353 g,0.5156 g,1.6027 g,2.032 g,0.4724 g,0.6096 g,0.8128 g,0.0 mg,0.1803 g,0.0 g,0.0025 g,0.1194 g,0.0584 g,0.0737 g,0.1397 g,0.0381 g,0.0025 g,0.2413 g,0.3073 g,0 g,0 mg,0 mg,20.2184 g,,12.7 μg,165.1 μg,0.0 μg,0.381 mg,,0.0 μg,1297.94 μg,40.64 μg,80.01 mg,2.032 μg,0.254 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 mg,1.8034 mg,0.127 mg,0.0 mg,0 mg,0.0 mg,0.0 mg,,0.0 μg,0.0 g,0.0 g,0.0 g,0.0 g,,,,0.0 g,0.0 g,0.0 g,,0.0 g,0.1676 g,,0.0 g,0.0 g,0.0 g,0.0 g,,0.0 g,0.1295 g,0.0 g,0 g,,18.7452 g,12.192 g,4.0386 g,3.9624 g,0 g,0.0 g,0.0 g,0.0 g,,,,,,,,,,
peanuts,1.0 g,0.2435 g,0.4966 g,0.2126 g,0.0292 g,5.867590822179732 kcal,0.0181 g,0.084 g,0.58 mg,0.0158 mg,1.78 mg,3.63 mg,6.34 mg,4.1 mg,0.0277 mg,0.0043 mg,0.0179 mg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 μg,0.0 mg,0.0015 mg,0.002 mg,0.1436 mg,0.0101 mg,0.0047 mg,0.97 μg,0.0 μg,0.0 μg,0.97 μg,0.97 μg,0.0023 g,0.0081 g,0.0083 g,0.0154 g,0.0085 g,0.0029 g,0.003 g,0.0123 g,0.0096 g,0.0099 g,0.0283 g,0.006 g,0.0094 g,0.0289 g,0.0495 g,0.0143 g,0.0105 g,0.0117 g,0.0 mg,0.0772 g,0.0 g,0.0002 g,0.0398 g,0.012 g,0.2544 g,0.0972 g,0.0003 g,0.0003 g,0.2618 g,0.0977 g,0 g,0 mg,0 mg,0.049 g,0.16 μg,0.093 μg,0.0 μg,0.0 μg,0.0493 mg,,0.0 μg,0.0 μg,0.0 μg,0.646 mg,0.0 μg,0.004 mg,0.0 g,0.0 g,0.0 g,0.0 g,0.0002 g,0.0 g,0.0 g,0.0063 g,0.0 g,0.0006 g,0.0 g,0.0036 mg,0.0632 mg,0.0061 mg,0.0 mg,0 mg,0.0 mg,0.0 mg,0.0 μg,0.0 μg,0.0003 g,0.0058 g,0.0122 g,0.0 g,,,,0.0 g,0.0004 g,0.0001 g,,0.0 g,0.2542 g,0.0969 g,0.0 g,0.0003 g,0.0001 g,0.0002 g,0.0001 g,0.0 g,0.0003 g,0.0069 g,,,0.0439 g,0.049 g,0.0 g,0.0 g,0 g,0.0 g,0.0 g,,0.0 g,0.0 g,0.0001 g,0.0 g,0.0003 g,0.0005 g,0.0001 g,0.0 g,0.0 g,
